timestamp_of_crash,state_name,manner_of_collision_name,latitude,longitude,manner_of_collision_name_1,atmospheric_conditions_name,light_condition_name,hit_and_run,body_type_name,vehicle_model_year,driver_distracted_by_name,person_type_name,injury_severity_name,first_harmful_event_name,seating_position_name,age,sex,police_reported_alcohol_involvement,died_at_scene_en_route,police_reported_drug_involvement
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),28,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Unknown if Distracted,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),Motor Vehicle in Transport,Second Seat – Middle,1,Male,Not Reported,Not Applicable,Not Reported
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Unknown if Distracted,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),Motor Vehicle in Transport,Front Seat – Right Side,28,Female,Not Reported,Not Applicable,Not Reported
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),34,Male,No (Alcohol Not Involved),Not Applicable,Yes (Drugs Involved)
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Not Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),28,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Not Distracted,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),Motor Vehicle in Transport,Second Seat – Middle,1,Male,Not Reported,Not Applicable,Not Reported
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Not Distracted,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),Motor Vehicle in Transport,Front Seat – Right Side,28,Female,Not Reported,Not Applicable,Not Reported
2015-11-03T12:54:00Z,Iowa,Front-to-Front,42.51567222,-96.3877,Front-to-Front,Clear,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Not Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),34,Male,No (Alcohol Not Involved),Not Applicable,Yes (Drugs Involved)
2015-07-15T04:38:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.76926111,-91.645325,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Not Lighted,No / No Hit-and-Run,"Single-Unit Straight Truck or Cab-Chassis (GVWR > 26,000 lbs) (Since 2011)",2011,Unknown if Distracted,Passenger of a Motor Vehicle In-Transport,Suspected Serious Injury (A),Parked Motor Vehicle (Not In Transport),Front Seat – Right Side,15,Female,Not Reported,Not Applicable,Not Reported
2015-07-15T04:38:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.76926111,-91.645325,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Not Lighted,No / No Hit-and-Run,"Single-Unit Straight Truck or Cab-Chassis (GVWR > 26,000 lbs) (Since 2011)",2011,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),33,Female,Yes (Alcohol Involved),Died at Scene,Yes (Drugs Involved)
2015-07-19T18:42:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.61398889,-93.59440556,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Daylight,Yes,Utility Station Wagon,1993,Not Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),23,Male,Yes (Alcohol Involved),Not Applicable,Yes (Drugs Involved)
2015-07-19T18:42:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.61398889,-93.59440556,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Daylight,No / No Hit-and-Run,Large Van – Includes Van-Based Buses,1997,Not Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),23,Male,Yes (Alcohol Involved),Not Applicable,Yes (Drugs Involved)
2015-11-14T01:36:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.54897778,-93.95255833,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Lighted,No / No Hit-and-Run,"Single-Unit Straight Truck or Cab-Chassis (GVWR > 26,000 lbs) (Since 2011)",2016,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),28,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
